Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularMedialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularPosteriorTilt,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristAbduction
  1.176000000000000e+01, -2.901692073364223e-01,  8.041023452770069e-02, -7.552761162592268e-03,  7.253551683312446e-01, -4.341627561423422e-03, -7.552761162606969e-03, -5.801490297542444e-02, -1.134436450812169e-01,  1.219817667605810e-01,  5.358558783070057e-01,  4.097522110314567e-01,  5.390672848979428e-01,  6.405054344700457e-02
  1.177000000000000e+01, -2.903677234141396e-01,  8.050249212785321e-02, -7.472886250612477e-03,  7.254319829842355e-01, -4.481755527380837e-03, -7.472886250612477e-03, -5.859129171016253e-02, -1.132178753991187e-01,  1.225162685364527e-01,  5.363729714500943e-01,  4.091246926893469e-01,  5.400024340826830e-01,  6.394302624104474e-02
  1.178000000000000e+01, -2.905790910719894e-01,  8.060074980168497e-02, -7.387701691086851e-03,  7.255139579589820e-01, -4.631070334561560e-03, -7.387701691116908e-03, -5.920316184679120e-02, -1.129676473615935e-01,  1.230862819318054e-01,  5.369490307284438e-01,  4.084108123089744e-01,  5.409858137653396e-01,  6.382865775565444e-02
  1.179000000000000e+01, -2.908034947881487e-01,  8.070510016838783e-02, -7.297099536983009e-03,  7.256012123189786e-01, -4.789731702715461e-03, -7.297099537059083e-03, -5.985058972809254e-02, -1.126920860635677e-01,  1.236925313972427e-01,  5.375861066542342e-01,  4.076067953720028e-01,  5.420181083256002e-01,  6.370731259621924e-02
  1.180000000000000e+01, -2.910410694402784e-01,  8.081561313426411e-02, -7.200990028579422e-03,  7.256938482175455e-01, -4.957865709918741e-03, -7.200990028718181e-03, -6.053348511894430e-02, -1.123903524842966e-01,  1.243356190231628e-01,  5.382861272340157e-01,  4.067090367868283e-01,  5.430997090909440e-01,  6.357890050723114e-02
  1.181000000000000e+01, -2.912918953467257e-01,  8.093233373065156e-02, -7.099302977317498e-03,  7.257919500233951e-01, -5.135561956215895e-03, -7.099302977458245e-03, -6.125156730628101e-02, -1.120616566467863e-01,  1.250160159001208e-01,  5.390508642378583e-01,  4.057141884437329e-01,  5.442306850904566e-01,  6.344337425996846e-02
  1.182000000000000e+01, -2.915559935647757e-01,  8.105528008856266e-02, -6.991988976718468e-03,  7.258955836755328e-01, -5.322870991913309e-03, -6.991988976797862e-03, -6.200434079425832e-02, -1.117052730846220e-01,  1.257340547421236e-01,  5.398818983755698e-01,  4.046192494493293e-01,  5.454107470167391e-01,  6.330073633770336e-02
  1.183000000000000e+01, -2.918333217086208e-01,  8.118444158674509e-02, -6.879020710415388e-03,  7.260047957505797e-01, -5.519801803420599e-03, -6.879020710609060e-03, -6.279107705168174e-02, -1.113205566987029e-01,  1.264899216563494e-01,  5.407805899383092e-01,  4.034216396690021e-01,  5.466392119424572e-01,  6.315104396494697e-02
  1.184000000000000e+01, -2.921237705835758e-01,  8.131977730630413e-02, -6.760394259178212e-03,  7.261196123233004e-01, -5.726319544186120e-03, -6.760394259391705e-03, -6.361080348371995e-02, -1.109069600507302e-01,  1.272836477035242e-01,  5.417480573850301e-01,  4.021192483494368e-01,  5.479149784938357e-01,  6.299441215349859e-02
  1.185000000000000e+01, -2.924272844711726e-01,  8.146129974272642e-02, -6.635958358507718e-03,  7.262402870754684e-01, -5.942558407559861e-03, -6.635958358424066e-03, -6.446079752801936e-02, -1.104610071608038e-01,  1.281163526493906e-01,  5.427783644351580e-01,  4.007450027685019e-01,  5.492274979401985e-01,  6.283146064723477e-02
  1.186000000000000e+01, -2.927433671767328e-01,  8.160873505571709e-02, -6.506098079233049e-03,  7.263663116856089e-01, -6.167966031538130e-03, -6.506098079181856e-03, -6.534250288640076e-02, -1.099883963624792e-01,  1.289852702633281e-01,  5.438854219286042e-01,  3.992299304726002e-01,  5.505914144162487e-01,  6.266159215124963e-02
  1.187000000000000e+01, -2.930718107870747e-01,  8.176202523690690e-02, -6.370722309420823e-03,  7.264978825844446e-01, -6.402570133226426e-03, -6.370722309351115e-03, -6.625273999334746e-02, -1.094860681308306e-01,  1.298911180218008e-01,  5.450630374100172e-01,  3.976064228506081e-01,  5.519966073690945e-01,  6.248545379276591e-02
  1.188000000000000e+01, -2.934122111528339e-01,  8.192099560808663e-02, -6.229930992581048e-03,  7.266349357493382e-01, -6.646142704618496e-03, -6.229930992563227e-03, -6.718945861599912e-02, -1.089540229418274e-01,  1.308332425304277e-01,  5.463111508521641e-01,  3.958746322717284e-01,  5.534401470265555e-01,  6.230337074038776e-02
  1.189000000000000e+01, -2.937640880014384e-01,  8.208543679993840e-02, -6.083851783282897e-03,  7.267773827855011e-01, -6.898405198660917e-03, -6.083851783228150e-03, -6.815034173346479e-02, -1.083924632404042e-01,  1.318108081277662e-01,  5.476294572684977e-01,  3.940349436520197e-01,  5.549186520036251e-01,  6.211572559563834e-02
  1.190000000000000e+01, -2.941268883162488e-01,  8.225510663175628e-02, -5.932637395164109e-03,  7.269251145240927e-01, -7.159032378249552e-03, -5.932637395070539e-03, -6.913279471636513e-02, -1.078017733958520e-01,  1.328228162141937e-01,  5.490173605650486e-01,  3.920882576211288e-01,  5.564283257581026e-01,  6.192295825727236e-02
  1.191000000000000e+01, -2.944999893372151e-01,  8.242973152175592e-02, -5.776464393964379e-03,  7.270780023477020e-01, -7.427654548582963e-03, -5.776464393849060e-03, -7.013395298509706e-02, -1.071825243068636e-01,  1.338681138537536e-01,  5.504739815976698e-01,  3.900359955476712e-01,  5.579650345645959e-01,  6.172556680940265e-02
  1.192000000000000e+01, -2.948827022260750e-01,  8.260900818357131e-02, -5.615531822840945e-03,  7.272358996084622e-01, -7.703860154102182e-03, -5.615531822761862e-03, -7.115069310931932e-02, -1.065354713893870e-01,  1.349454034157906e-01,  5.519981693410949e-01,  3.878801382093139e-01,  5.595243998067501e-01,  6.152410903691562e-02
  1.193000000000000e+01, -2.952742773025548e-01,  8.279260605167593e-02, -5.450059197282913e-03,  7.273986436430944e-01, -7.987199477053730e-03, -5.450059197140317e-03, -7.217964854647874e-02, -1.058615450063620e-01,  1.360532564078814e-01,  5.535885236806742e-01,  3.856232668512385e-01,  5.611018665671517e-01,  6.131919596300345e-02
  1.194000000000000e+01, -2.956739107773552e-01,  8.298017034731009e-02, -5.280284133960713e-03,  7.275660579632506e-01, -8.277189135206475e-03, -5.280284133918661e-03, -7.321723340243302e-02, -1.051618413358152e-01,  1.371901295159574e-01,  5.552434358623970e-01,  3.832685520775189e-01,  5.626927461689588e-01,  6.111147441299829e-02
  1.195000000000000e+01, -2.960807524761264e-01,  8.317132553814632e-02, -5.106459868455326e-03,  7.277379543394924e-01, -8.573316968127909e-03, -5.106459868368359e-03, -7.425967352567686e-02, -1.044376171400516e-01,  1.383543811029635e-01,  5.569611367834311e-01,  3.808197127532635e-01,  5.642922609729899e-01,  6.090160598001675e-02
  1.196000000000000e+01, -2.964939145442669e-01,  8.336567919936111e-02, -4.928852607597026e-03,  7.279141348631580e-01, -8.875047359630628e-03, -4.928852607506926e-03, -7.530304407916888e-02, -1.036902835287238e-01,  1.395442885484227e-01,  5.587397419398978e-01,  3.782809812047107e-01,  5.658956046745454e-01,  6.069024738808337e-02
  1.197000000000000e+01, -2.969124809265345e-01,  8.356282617394672e-02, -4.747738828397836e-03,  7.280943938585889e-01, -9.181826821643035e-03, -4.747738828351067e-03, -7.634331342039680e-02, -1.029213977938875e-01,  1.407580656616554e-01,  5.605772983599653e-01,  3.756570519650366e-01,  5.674980069689131e-01,  6.047803202082752e-02
  1.198000000000000e+01, -2.973355169782591e-01,  8.376235273340149e-02, -4.563402780449582e-03,  7.282785193970748e-01, -9.493089386200193e-03, -4.563402780425252e-03, -7.737639141798658e-02, -1.021326540816054e-01,  1.419938784389408e-01,  5.624718442277012e-01,  3.729530083956930e-01,  5.690947878476895e-01,  6.026555696816711e-02
  1.199000000000000e+01, -2.977620789977031e-01,  8.396384064898244e-02, -4.376134242673766e-03,  7.284662943887290e-01, -9.808261693087017e-03, -4.376134242572285e-03, -7.839818106026430e-02, -1.013258715414532e-01,  1.432498588623392e-01,  5.644214796134243e-01,  3.701742517728157e-01,  5.706813992406019e-01,  6.005337804403594e-02
  1.200000000000000e+01, -2.981912235402100e-01,  8.416687113537558e-02, -4.186226472138734e-03,  7.286574973910748e-01, -1.012676779810429e-02, -4.186226471926567e-03, -7.940463117683971e-02, -1.005029804266760e-01,  1.445241172450486e-01,  5.664244363769938e-01,  3.673264327348720e-01,  5.722534589953869e-01,  5.984200695995192e-02
  1.201000000000000e+01, -2.986220155505567e-01,  8.437102825414167e-02, -3.993974582225923e-03,  7.288519030187968e-01, -1.044803318515508e-02, -3.993974582086936e-03, -8.039178512750578e-02, -9.966600505489165e-02,  1.458147516928461e-01,  5.684791378062276e-01,  3.644153772282856e-01,  5.738067757653433e-01,  5.963190796266601e-02
  1.202000000000000e+01, -2.990535348631779e-01,  8.457590159801165e-02, -3.799674399214176e-03,  7.290492820022403e-01, -1.077148780551229e-02, -3.799674399126519e-03, -8.135582212808679e-02, -9.881704290816246e-02,  1.471198544724167e-01,  5.705842457424053e-01,  3.614470146231748e-01,  5.753373630927019e-01,  5.942349704650851e-02
  1.203000000000000e+01, -2.994848819606305e-01,  8.478108869547296e-02, -3.603621324354394e-03,  7.292494014246774e-01, -1.109656888881538e-02, -3.603621324292777e-03, -8.229309208494939e-02, -9.795824405660242e-02,  1.484375185333018e-01,  5.727386937201006e-01,  3.584273268617518e-01,  5.768414552580037e-01,  5.921714508123641e-02
  1.204000000000000e+01, -2.999151833727909e-01,  8.498619730172208e-02, -3.406109098764624e-03,  7.294520252012092e-01, -1.142272374198905e-02, -3.406109098699434e-03, -8.320014582978597e-02, -9.709179471442568e-02,  1.497658448262217e-01,  5.749417062982356e-01,  3.553623237247652e-01,  5.783155389276193e-01,  5.901318221396578e-02
  1.205000000000000e+01, -3.003435961872922e-01,  8.519084728017190e-02, -3.207428904990755e-03,  7.296569142357805e-01, -1.174941193522150e-02, -3.207428904852298e-03, -8.407376253375154e-02, -9.621990505166034e-02,  1.511029473474249e-01,  5.771928121562274e-01,  3.522580161067631e-01,  5.797563939961812e-01,  5.881189966089503e-02
  1.206000000000000e+01, -3.007693117966620e-01,  8.539467211261664e-02, -3.007868845131522e-03,  7.298638261588204e-01, -1.207610687142346e-02, -3.007868845057701e-03, -8.491097601345055e-02, -9.534479905759419e-02,  1.524469555784616e-01,  5.794918559656532e-01,  3.491203644218674e-01,  5.811611219678627e-01,  5.861354776620285e-02
  1.207000000000000e+01, -3.011915592110258e-01,  8.559732021676547e-02, -2.807713549826307e-03,  7.300725149603927e-01, -1.240229709040852e-02, -2.807713549786765e-03, -8.570909915750780e-02, -9.446870326160388e-02,  1.537960160626769e-01,  5.818390023803660e-01,  3.459552155949956e-01,  5.825271490608142e-01,  5.841833176180802e-02
  1.208000000000000e+01, -3.016096073483525e-01,  8.579845581005863e-02, -2.607244102017181e-03,  7.302827303822794e-01, -1.272748694983261e-02, -2.607244101889434e-03, -8.646574395311113e-02, -9.359382918659478e-02,  1.551482919385168e-01,  5.842347264129284e-01,  3.427682604251954e-01,  5.838522066021890e-01,  5.822640910383611e-02
  1.209000000000000e+01, -3.020227660937913e-01,  8.599775922643671e-02, -2.406738348667896e-03,  7.304942170158969e-01, -1.305119655461029e-02, -2.406738348806285e-03, -8.717883627115586e-02, -9.272234617975247e-02,  1.565019599854829e-01,  5.866797944139153e-01,  3.395650294458590e-01,  5.851343040650727e-01,  5.803789475164281e-02
  1.210000000000000e+01, -3.024303867400671e-01,  8.619492699043452e-02, -2.206471264213203e-03,  7.307067134870613e-01, -1.337296145651989e-02, -2.206471264213203e-03, -8.784662585471059e-02, -9.185635157309173e-02,  1.578552074910046e-01,  5.891752392016933e-01,  3.363509016287389e-01,  5.863717211233137e-01,  5.785287327570572e-02
  1.211000000000000e+01, -3.028318616850183e-01,  8.638967158528099e-02, -2.006715440586969e-03,  7.309199516394368e-01, -1.369233201141151e-02, -2.006715440697620e-03, -8.846769153305489e-02, -9.099784769037986e-02,  1.592062284150906e-01,  5.917223297414892e-01,  3.331310721266224e-01,  5.875630244999175e-01,  5.767140600345024e-02
  1.212000000000000e+01, -3.032266229103395e-01,  8.658172068518444e-02, -1.807741939755568e-03,  7.311336554724006e-01, -1.400887202049161e-02, -1.807741939755568e-03, -8.904094085587766e-02, -9.014872422633957e-02,  1.605532172855584e-01,  5.943225384641661e-01,  3.299104729663602e-01,  5.887070798197018e-01,  5.749352888249234e-02
  1.213000000000000e+01, -3.036141400247771e-01,  8.677081626540906e-02, -1.609820969921236e-03,  7.313475404948308e-01, -1.432215743405973e-02, -1.609820969921236e-03, -8.956560311236306e-02, -8.931073960736309e-02,  1.618943645736596e-01,  5.969775054715225e-01,  3.266937193925507e-01,  5.898030406868240e-01,  5.731925174311275e-02
  1.214000000000000e+01, -3.039939191964484e-01,  8.695671424400331e-02, -1.413221675415799e-03,  7.315613142804688e-01, -1.463177622114653e-02, -1.413221675494359e-03, -9.004121703222046e-02, -8.848550175753830e-02,  1.632278583808447e-01,  5.996889952891671e-01,  3.234851326411098e-01,  5.908503403022971e-01,  5.714856550398276e-02
  1.215000000000000e+01, -3.043655027795235e-01,  8.713918452923464e-02, -1.218211278168901e-03,  7.317746778931448e-01, -1.493732910631884e-02, -1.218211278260036e-03, -9.046761496428823e-02, -8.767445468036786e-02,  1.645518907414521e-01,  6.024588491423818e-01,  3.202887898584378e-01,  5.918487079864052e-01,  5.698145183597116e-02
  1.216000000000000e+01, -3.047284681641577e-01,  8.731801073300205e-02, -1.025054412897893e-03,  7.319873272112286e-01, -1.523842988234292e-02, -1.025054413222819e-03, -9.084490300274806e-02, -8.687887428383451e-02,  1.658646627251136e-01,  6.052889410623868e-01,  3.171085328792516e-01,  5.927981886860234e-01,  5.681789081646171e-02
  1.217000000000000e+01, -3.050824247307363e-01,  8.749298896588131e-02, -8.340134049920801e-04,  7.321989532569114e-01, -1.553470422102010e-02, -8.340134048589620e-04, -9.117343810129031e-02, -8.609986789494636e-02,  1.671643831993675e-01,  6.081811373181163e-01,  3.139479314100624e-01,  5.936991437238599e-01,  5.665786507740865e-02
