Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularMedialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularPosteriorTilt,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristAbduction
  7.590000000000000e+00, -3.113644823226343e-01,  9.764749244970705e-02,  3.371971515114815e-02,  7.875659180094079e-01, -5.211866895955741e-02,  3.371971515148734e-02,  3.731861978605240e-01, -3.138243775202781e-01,  4.233842753646946e-01,  1.316782679401586e+00,  8.326011850741047e-01, -9.921003223280761e-01,  2.360436047227738e-02
  7.600000000000000e+00, -3.113589685441172e-01,  9.764602483774487e-02,  3.372219510152224e-02,  7.875718920712982e-01, -5.211964048618789e-02,  3.372219510186799e-02,  3.732752366291578e-01, -3.137528769757613e-01,  4.234056426113900e-01,  1.316645792630277e+00,  8.326733652193714e-01, -9.923216445060468e-01,  2.360349304455567e-02
  7.609999999999999e+00, -3.113542426558534e-01,  9.764491442329670e-02,  3.372497037532863e-02,  7.875780995930804e-01, -5.212111381077000e-02,  3.372497037565789e-02,  3.733613898680628e-01, -3.136855458482421e-01,  4.234288347617642e-01,  1.316511554232591e+00,  8.327357750459545e-01, -9.925286541711966e-01,  2.360316551691955e-02
  7.620000000000000e+00, -3.113502600987453e-01,  9.764413947344863e-02,  3.372801752229280e-02,  7.875845160845122e-01, -5.212305389943794e-02,  3.372801752261215e-02,  3.734447186036707e-01, -3.136221952650591e-01,  4.234536979483522e-01,  1.316380029971983e+00,  8.327883709234161e-01, -9.927221269987475e-01,  2.360323049659340e-02
  7.630000000000000e+00, -3.113469664822911e-01,  9.764367372641392e-02,  3.373130909178549e-02,  7.875911136128568e-01, -5.212541914483770e-02,  3.373130909207519e-02,  3.735253150850633e-01, -3.135626188342472e-01,  4.234800531603577e-01,  1.316251278926640e+00,  8.328312140284224e-01, -9.929028951067795e-01,  2.360353847986893e-02
  7.640000000000000e+00, -3.113442980799831e-01,  9.764348669271872e-02,  3.373481415564163e-02,  7.875978615143254e-01, -5.212816201450310e-02,  3.373481415591484e-02,  3.736033060783932e-01, -3.135066030870187e-01,  4.235076999243618e-01,  1.316125353498213e+00,  8.328644563667100e-01, -9.930718347987605e-01,  2.360393726800967e-02
  7.649999999999999e+00, -3.113421818407150e-01,  9.764354371632789e-02,  3.373849855880508e-02,  7.876047268100642e-01, -5.213122930130187e-02,  3.373849855906838e-02,  3.736788565576616e-01, -3.134539351280420e-01,  4.235364181815759e-01,  1.316002299888014e+00,  8.328883400408740e-01, -9.932298714550707e-01,  2.360427166479989e-02
  7.660000000000000e+00, -3.113405371968722e-01,  9.764380686317287e-02,  3.374232589999729e-02,  7.876116752492850e-01, -5.213456357405266e-02,  3.374232590021779e-02,  3.737521676729432e-01, -3.134044032913021e-01,  4.235659747518011e-01,  1.315882161447526e+00,  8.329032013649353e-01, -9.933779805056163e-01,  2.360438562876335e-02
  7.670000000000000e+00, -3.113392809775387e-01,  9.764423727007587e-02,  3.374625990821647e-02,  7.876186736605821e-01, -5.213810683460696e-02,  3.374625990840733e-02,  3.738234668589551e-01, -3.133577951006803e-01,  4.235961387311232e-01,  1.315764982205889e+00,  8.329094596584401e-01, -9.935171628567117e-01,  2.360412825267214e-02
  7.680000000000000e+00, -3.113383321074690e-01,  9.764479736337073e-02,  3.375026659308401e-02,  7.876256919952989e-01, -5.214180389423673e-02,  3.375026659326168e-02,  3.738929965160112e-01, -3.133138984184697e-01,  4.236266952963599e-01,  1.315650805567202e+00,  8.329075852737623e-01, -9.936484086092953e-01,  2.360336076357025e-02
