Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularMedialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularPosteriorTilt,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristAbduction
  1.027000000000000e+01, -4.878482973817484e-01,  1.848190004749815e-01,  1.416201431420751e-01,  8.841480175104751e-01, -1.883510312127508e-01,  1.416201431419885e-01,  2.044970274799749e-01,  4.787982343625710e-01,  1.069008715912550e+00,  1.060153791855618e+00, -4.455782732187109e-01,  8.559905755137347e-01, -3.228969537501795e-02
  1.028000000000000e+01, -4.878414455842629e-01,  1.848127166787894e-01,  1.416018208295196e-01,  8.841244023865962e-01, -1.883345939445991e-01,  1.416018208294347e-01,  2.043101731286885e-01,  4.788881821198493e-01,  1.068887747649650e+00,  1.059965751904201e+00, -4.453683595256905e-01,  8.558276473945887e-01, -3.226234479088053e-02
  1.029000000000000e+01, -4.878331286045940e-01,  1.848057460592187e-01,  1.415826801307273e-01,  8.841003305964843e-01, -1.883172402947260e-01,  1.415826801306447e-01,  2.041271793482706e-01,  4.789796484016381e-01,  1.068762639247588e+00,  1.059774813779320e+00, -4.451529667574770e-01,  8.556680652880813e-01, -3.223515934047763e-02
  1.030000000000000e+01, -4.878233986253659e-01,  1.847981164796451e-01,  1.415627663021347e-01,  8.840758421127681e-01, -1.882990163113070e-01,  1.415627663020536e-01,  2.039481355747592e-01,  4.790724931852937e-01,  1.068633650685489e+00,  1.059581097371050e+00, -4.449325245337931e-01,  8.555120171756698e-01, -3.220810311595226e-02
  1.031000000000000e+01, -4.878123293491243e-01,  1.847898648573534e-01,  1.415421317437245e-01,  8.840509763823132e-01, -1.882799774088322e-01,  1.415421317436458e-01,  2.037730055815308e-01,  4.791665902788879e-01,  1.068501068555709e+00,  1.059384773077980e+00, -4.447074986067236e-01,  8.553596610695591e-01, -3.218113512408365e-02
  1.032000000000000e+01, -4.878000138166688e-01,  1.847810362449693e-01,  1.415208352694527e-01,  8.840257723768512e-01, -1.882601874171312e-01,  1.415208352693788e-01,  2.036016401727125e-01,  4.792618204514754e-01,  1.068365203342930e+00,  1.059186056662900e+00, -4.444783869042432e-01,  8.552111265570499e-01, -3.215420939556825e-02
  1.033000000000000e+01, -4.877865624765236e-01,  1.847716830013364e-01,  1.414989413844875e-01,  8.840002685239735e-01, -1.882397176755790e-01,  1.414989413844135e-01,  2.034337873282250e-01,  4.793580695735798e-01,  1.068226386477381e+00,  1.058985205730300e+00, -4.442457164467740e-01,  8.550665094166954e-01, -3.212727425085792e-02
  1.034000000000000e+01, -4.877721016767745e-01,  1.847618641269553e-01,  1.414765196406710e-01,  8.839745025359015e-01, -1.882186462592101e-01,  1.414765196406010e-01,  2.032690990068766e-01,  4.794552322519192e-01,  1.068084967476184e+00,  1.058782518519731e+00, -4.440100403557513e-01,  8.549258644727495e-01, -3.210027304287922e-02
  1.035000000000000e+01, -4.877567712690986e-01,  1.847516442235959e-01,  1.414536436866576e-01,  8.839485112436577e-01, -1.881970568091436e-01,  1.414536436865891e-01,  2.031071429794837e-01,  4.795532152120548e-01,  1.067941309910296e+00,  1.058578328718787e+00, -4.437719304494478e-01,  8.547892002263309e-01, -3.207314611415376e-02
  1.036000000000000e+01, -4.877407213297501e-01,  1.847410921003707e-01,  1.414303901100324e-01,  8.839223305782277e-01, -1.881750370496205e-01,  1.414303901099670e-01,  2.029474210171374e-01,  4.796519374656743e-01,  1.067795786873879e+00,  1.058372994324030e+00, -4.435319672844176e-01,  8.546564789411688e-01, -3.204583276067940e-02
  1.037000000000000e+01, -4.877241088861484e-01,  1.847302793993666e-01,  1.414068373629752e-01,  8.838959956715997e-01, -1.881526773753126e-01,  1.414068373629129e-01,  2.027893881949618e-01,  4.797513294390461e-01,  1.067648777029883e+00,  1.058166885786700e+00, -4.432907309037658e-01,  8.545276253777474e-01, -3.201827402277559e-02
  1.038000000000000e+01, -4.877070951156084e-01,  1.847192793988093e-01,  1.413830647453403e-01,  8.838695407982233e-01, -1.881300695603476e-01,  1.413830647452733e-01,  2.026324680302687e-01,  4.798513344291981e-01,  1.067500660541084e+00,  1.057960378837014e+00, -4.430487906646050e-01,  8.544025390119461e-01, -3.199041674624896e-02
  1.039000000000000e+01, -4.876898434558221e-01,  1.847081662028855e-01,  1.413591517051463e-01,  8.838429993153158e-01, -1.881073058761142e-01,  1.413591517050864e-01,  2.024760625013717e-01,  4.799519105056714e-01,  1.067351816230164e+00,  1.057753851000196e+00, -4.428066947738169e-01,  8.542811030212323e-01, -3.196221702621105e-02
  1.040000000000000e+01, -4.876725188294608e-01,  1.846970144439941e-01,  1.413351777151692e-01,  8.838164038812956e-01, -1.880844788666811e-01,  1.413351777151093e-01,  2.023195584747368e-01,  4.800530290075229e-01,  1.067202621562612e+00,  1.057547679329713e+00, -4.425649627609817e-01,  8.541631908615428e-01, -3.193364182788418e-02
  1.041000000000000e+01, -4.876552873427583e-01,  1.846858991955140e-01,  1.413112223593974e-01,  8.837897867401974e-01, -1.880616813744147e-01,  1.413112223593367e-01,  2.021623321056047e-01,  4.801546703882686e-01,  1.067053453583310e+00,  1.057342240143518e+00, -4.423240823402116e-01,  8.540486745515752e-01, -3.190466998878558e-02
  1.042000000000000e+01, -4.876383158547710e-01,  1.846748958241282e-01,  1.412873653483401e-01,  8.837631799668407e-01, -1.880390064852142e-01,  1.412873653482755e-01,  2.020037535906485e-01,  4.802568196541345e-01,  1.066904689493321e+00,  1.057137909736656e+00, -4.420845091286156e-01,  8.539374347412472e-01, -3.187529275380496e-02
  1.043000000000000e+01, -4.876217714537037e-01,  1.846640797928607e-01,  1.412636864556379e-01,  8.837366156428325e-01, -1.880165473928617e-01,  1.412636864555772e-01,  2.018431917837535e-01,  4.803594634140649e-01,  1.066756706774765e+00,  1.056935064727551e+00, -4.418466662602200e-01,  8.538293678040372e-01, -3.184551262750691e-02
  1.044000000000000e+01, -4.876058199695230e-01,  1.846535260107904e-01,  1.412402649095439e-01,  8.837101257210773e-01, -1.879943966542381e-01,  1.412402649094808e-01,  2.016800212471881e-01,  4.804625900383524e-01,  1.066609880541012e+00,  1.056734081924857e+00, -4.416109445787460e-01,  8.537243860162005e-01, -3.181534120719166e-02
  1.045000000000000e+01, -4.875906219907246e-01,  1.846433070968054e-01,  1.412171777875228e-01,  8.836837416993272e-01, -1.879726442155389e-01,  1.412171777874589e-01,  2.015136414809466e-01,  4.805661903290744e-01,  1.066464576612297e+00,  1.056535334651427e+00, -4.413777057535616e-01,  8.536224131862049e-01, -3.178479774200678e-02
  1.046000000000000e+01, -4.875763275942739e-01,  1.846334911348118e-01,  1.411944981398334e-01,  8.836574945542636e-01, -1.879513750078305e-01,  1.411944981397687e-01,  2.013435058582262e-01,  4.806702557249196e-01,  1.066321144086760e+00,  1.056339185925296e+00, -4.411472867794550e-01,  8.535233801692392e-01, -3.175390906014425e-02
  1.047000000000000e+01, -4.875630729503926e-01,  1.846241402903344e-01,  1.411722940780022e-01,  8.836314151374671e-01, -1.879306676459127e-01,  1.411722940779415e-01,  2.011691444562862e-01,  4.807747740193399e-01,  1.066179912631724e+00,  1.056145984013239e+00, -4.409200035667711e-01,  8.534272219817969e-01, -3.172271005649398e-02
  1.048000000000000e+01, -4.875509791891487e-01,  1.846153104312958e-01,  1.411506288616981e-01,  8.836055348840157e-01, -1.879105943198518e-01,  1.411506288616342e-01,  2.009901771865388e-01,  4.808797226775482e-01,  1.066041194310983e+00,  1.055956060781051e+00, -4.406961552125917e-01,  8.533338776731898e-01, -3.169124347646778e-02
  1.049000000000000e+01, -4.875401515631519e-01,  1.846070508593201e-01,  1.411295610176009e-01,  8.835798864156816e-01, -1.878912207598957e-01,  1.411295610175346e-01,  2.008063242590761e-01,  4.809850628987308e-01,  1.065905285313879e+00,  1.055769730466746e+00, -4.404760306298886e-01,  8.532432905972347e-01, -3.165955876042187e-02
  1.050000000000000e+01, -4.875306787302707e-01,  1.845994040396453e-01,  1.411091442532576e-01,  8.835545037782030e-01, -1.878726060482732e-01,  1.411091442531929e-01,  2.006174124847464e-01,  4.810907380396408e-01,  1.065772466116328e+00,  1.055587290000781e+00, -4.402599129343537e-01,  8.531554043023517e-01, -3.162771077079412e-02
  1.051000000000000e+01, -4.875226335728437e-01,  1.845924059628303e-01,  1.410894278112123e-01,  8.835294225390098e-01, -1.878548030421807e-01,  1.410894278111452e-01,  2.004233716286503e-01,  4.811966726084290e-01,  1.065643003057797e+00,  1.055409022098441e+00, -4.400480774669384e-01,  8.530701569360684e-01, -3.159575952859225e-02
  1.052000000000000e+01, -4.875160752517881e-01,  1.845860870211600e-01,  1.410704572093887e-01,  8.835046798212740e-01, -1.878378593154331e-01,  1.410704572093216e-01,  2.002242232288125e-01,  4.813027683411402e-01,  1.065517151284897e+00,  1.055235200759043e+00, -4.398407905291017e-01,  8.529874815219438e-01, -3.156377126101191e-02
  1.053000000000000e+01, -4.875110505212123e-01,  1.845804725202935e-01,  1.410522744830205e-01,  8.834803139809101e-01, -1.878218175660091e-01,  1.410522744829503e-01,  2.000200701558066e-01,  4.814089016598538e-01,  1.065395155006627e+00,  1.055066096521215e+00, -4.396383131455381e-01,  8.529073099954099e-01, -3.153181897248976e-02
  1.054000000000000e+01, -4.875075928200251e-01,  1.845755822087098e-01,  1.410349174679049e-01,  8.834563640090111e-01, -1.878067148699336e-01,  1.410349174678393e-01,  1.998110960220347e-01,  4.815149254263585e-01,  1.065277243447775e+00,  1.054901974891335e+00, -4.394409006019904e-01,  8.528295724458697e-01, -3.149998041769889e-02
  1.055000000000000e+01, -4.875057192630530e-01,  1.845714289540807e-01,  1.410184185319580e-01,  8.834328691995037e-01, -1.877925811418495e-01,  1.410184185318885e-01,  1.995975789016884e-01,  4.816206700707641e-01,  1.065163625218792e+00,  1.054743084460781e+00, -4.392487963175953e-01,  8.527541932067244e-01, -3.146833405695018e-02
  1.056000000000000e+01, -4.875054274432780e-01,  1.845680174021764e-01,  1.410028035365914e-01,  8.834098692549354e-01, -1.877794377587558e-01,  1.410028035365196e-01,  1.993799102886391e-01,  4.817259406309904e-01,  1.065054484502513e+00,  1.054589642157990e+00, -4.390622298158173e-01,  8.526810932980080e-01, -3.143695591048858e-02
